MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57987.709,17.94,0.05,3.19869471045e-17,1.47305329197e-18,SIRIUS_H,SIRIUS,GeneralFilters
57987.709,18.31,0.06,3.69447527839e-17,2.04164240614e-18,SIRIUS_J,SIRIUS,GeneralFilters
57987.709,17.68,0.04,2.29606617326e-17,8.45902004728e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57987.975,18.83,0.18,3.50601653328e-17,5.81248877709e-18,DECam_Y,DECam,GeneralFilters
57987.977,19.17,0.11,3.19433658247e-17,3.23630185989e-18,DECam_z,DECam,GeneralFilters
57987.979,19.55,0.18,3.22712833572e-17,5.35013085522e-18,DECam_i,DECam,GeneralFilters
57987.983,20.79,0.24,1.59309119349e-17,3.52149877034e-18,DECam_r,DECam,GeneralFilters
57987.99,22.03,0.42,1.0056262035e-17,3.89010688379e-18,DECam_g,DECam,GeneralFilters
57988.002,20.27,0.12,1.70782146971e-17,1.88755396744e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57988.234,18.95,0.44,3.3388640001e-17,1.35309119681e-17,GFC_y,GFC,GeneralFilters
57988.729,18.12,0.04,2.71002184816e-17,9.98408905159e-19,SIRIUS_H,SIRIUS,GeneralFilters
57988.729,18.6,0.18,1.74169775547e-17,2.88749313093e-18,SIRIUS_H,SIRIUS,GeneralFilters
57988.729,18.36,0.05,3.52819650011e-17,1.62479446764e-18,SIRIUS_J,SIRIUS,GeneralFilters
57988.729,18.65,0.19,2.701175269e-17,4.72696109914e-18,SIRIUS_J,SIRIUS,GeneralFilters
57988.729,17.69,0.03,2.27501571205e-17,6.286100464e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57988.729,18.01,0.1,1.6942769419e-17,1.56048666891e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57988.974,19.06,0.31,2.83670359953e-17,8.09937143558e-18,DECam_Y,DECam,GeneralFilters
57988.98,20.14,0.07,1.83039199735e-17,1.18009728402e-18,FORS2_I,FORS2,GeneralFilters
57988.985,20.95,0.35,1.37480352462e-17,4.43184276324e-18,DECam_r,DECam,GeneralFilters
57988.989,17.84,0.03,1.99356194644e-17,5.50841500134e-19,VISTA_Ks,VIRCAM,GeneralFilters
57988.996,22.08,0.52,9.60365568648e-18,4.599552574e-18,DECam_g,DECam,GeneralFilters
57988.999,18.71,0.04,3.73373072272e-17,1.37555717699e-18,VISTA_Y,VIRCAM,GeneralFilters
57988.999,18.74,0.04,2.51192147858e-17,9.25426034842e-19,VISTA_J,VIRCAM,GeneralFilters
