#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3011.77040444	-6.283619342381628e-15	-6.283619342381628e-15	1.2093174010764e-14
3011.97038789	-1.7659913143474273e-15	-1.7659913143474273e-15	1.147997738228e-14
3012.17037134	-3.5453639793442003e-16	-3.5453639793442003e-16	1.1978600862768e-14
3012.37035479	-1.2658831489328058e-14	-1.2658831489328058e-14	1.1207796232136e-14
3012.57033824	-9.404281634183913e-15	-9.404281634183913e-15	1.0594206896133e-14
3012.77032169	1.3592379578815223e-15	1.3592379578815223e-15	1.0733254339825e-14
3012.97030513	-7.319179915380984e-16	-7.319179915380984e-16	9.731318383860001e-15
3013.17028858	7.667669659326162e-16	7.667669659326162e-16	1.01180854044e-14
3013.37027203	-5.5380359572694995e-15	-5.5380359572694995e-15	9.843092747701997e-15
3013.57025548	-6.305527158821627e-15	-6.305527158821627e-15	9.286202983861999e-15
3013.77023893	-5.679141085502773e-15	-5.679141085502773e-15	9.024721726175995e-15
3013.97022238	1.5901503649469092e-17	1.5901503649469092e-17	9.111930125843996e-15
3014.17020583	-3.6952496855892224e-16	-3.6952496855892224e-16	9.116040570203999e-15
3014.37018927	-5.8397965483866546e-15	-5.8397965483866546e-15	8.578624333795998e-15
3014.57017272	-5.7729217949994024e-15	-5.7729217949994024e-15	8.231044244408e-15
3014.77015617	4.4591955209836066e-15	4.4591955209836066e-15	8.995647079926002e-15
3014.97013962	-9.056183757852533e-15	-9.056183757852533e-15	8.188271785296999e-15
3015.17012307	-6.182256429768869e-15	-6.182256429768869e-15	7.522167066309e-15
3015.37110644	-5.8067481217354564e-15	-5.8067481217354564e-15	7.450175135778001e-15
3015.57108988	-1.053928032707e-15	-1.053928032707e-15	7.889186426341998e-15
3015.77107333	9.154363041355053e-16	9.154363041355053e-16	8.076759465620998e-15
3015.97105678	-6.611350821124126e-15	-6.611350821124126e-15	7.025747910727998e-15
3016.17104023	-5.5432646304092106e-15	-5.5432646304092106e-15	7.312720730489998e-15
3016.37102368	2.940998275169161e-15	2.940998275169161e-15	7.2540638777e-15
3016.57100713	-4.315436592185433e-15	-4.315436592185433e-15	6.7714964475e-15
3016.77099058	-4.980900837063592e-15	-4.980900837063592e-15	6.49027511364e-15
3016.97097403	3.550106645250636e-16	3.550106645250636e-16	6.739771953639999e-15
3017.17095747	-3.851619803162726e-15	-3.851619803162726e-15	6.258124472679998e-15
3017.37094092	-5.927901288424572e-15	-5.927901288424572e-15	5.716491611337e-15
3017.57092437	-6.115010583290515e-15	-6.115010583290515e-15	5.769174204495e-15
3017.77090782	2.541724723994961e-16	2.541724723994961e-16	5.970491941148999e-15
3017.97089127	-5.73112358235816e-15	-5.73112358235816e-15	5.802849673362e-15
3018.17087472	-1.7730913383022496e-15	-1.7730913383022496e-15	6.065172592207002e-15
3018.37085817	-2.6299576859227115e-15	-2.6299576859227115e-15	5.830696799453999e-15
3018.57084162	-9.708018232875411e-16	-9.708018232875411e-16	5.534770373162998e-15
3018.77082507	-2.280148005930445e-15	-2.280148005930445e-15	5.374041892488e-15
3018.97080852	-5.121297538088818e-16	-5.121297538088818e-16	5.329516605967999e-15
3019.17079196	1.1183939787399027e-15	1.1183939787399027e-15	5.439224576202001e-15
3019.37077541	1.0664922035073557e-16	1.0664922035073557e-16	5.058942349788e-15
3019.57075886	2.445435126668575e-16	2.445435126668575e-16	4.854435462206e-15
3019.77074231	-1.370325753208832e-15	-1.370325753208832e-15	4.796822333632e-15
3019.97072576	-1.8819973041518155e-15	-1.8819973041518155e-15	4.625289510852e-15
3020.17070921	-1.0360508153846371e-15	-1.0360508153846371e-15	4.698798368992001e-15
3020.37069266	9.898821203992696e-16	9.898821203992696e-16	4.770708357168001e-15
3020.57067611	-5.448625655744262e-15	-5.448625655744262e-15	4.497541740438e-15
3020.77065956	-2.7706168881685097e-15	-2.7706168881685097e-15	4.098367314366001e-15
3020.97064301	-4.520312046632955e-15	-4.520312046632955e-15	3.891530274381e-15
3021.17062646	-3.3737405211197247e-15	-3.3737405211197247e-15	4.072830892057e-15
3021.37160982	7.105197761821907e-16	7.105197761821907e-16	4.147765494161001e-15
3021.57159327	-1.0724443661112022e-15	-1.0724443661112022e-15	3.769756997352e-15
3021.77157672	-2.839486854381098e-15	-2.839486854381098e-15	3.715626805562e-15
3021.97156017	-3.642800505316132e-15	-3.642800505316132e-15	3.594466053360001e-15
3022.17154362	1.1523858263577207e-15	1.1523858263577207e-15	3.809593220312001e-15
3022.37152707	-1.0497206456006207e-15	-1.0497206456006207e-15	3.798200208891999e-15
3022.57151052	-2.1186482587667222e-15	-2.1186482587667222e-15	3.642533645885999e-15
3022.77149397	-1.2205527742439855e-15	-1.2205527742439855e-15	3.622556036167999e-15
3022.97147742	9.77677956245545e-16	9.77677956245545e-16	3.624463956149999e-15
3023.17146087	-3.671602078591607e-15	-3.671602078591607e-15	3.302385348275e-15
3023.37144432	5.699194547504023e-16	5.699194547504023e-16	3.665111727360002e-15
3023.57142776	4.999586307540281e-15	4.999586307540281e-15	3.627145111109999e-15
3023.77141121	1.0888928628156782e-15	1.0888928628156782e-15	3.286848378905e-15
3023.97139466	-1.660751575720636e-15	-1.660751575720636e-15	3.044326622624999e-15
3024.17137811	-1.4021359534034397e-15	-1.4021359534034397e-15	2.981771338454999e-15
3024.37136156	-3.436573643745829e-15	-3.436573643745829e-15	2.846034461960001e-15
3024.57134501	-2.6975555224820574e-15	-2.6975555224820574e-15	2.776609028447999e-15
3024.77132846	-8.955769609492255e-16	-8.955769609492255e-16	2.9881826524e-15
3024.97131191	2.5715024184968883e-15	2.5715024184968883e-15	3.172287681376001e-15
3025.17129536	3.3452611394320123e-15	3.3452611394320123e-15	3.111981024696e-15
