wavelength	flux
5066.7	2.8353634e-16
5068.7	2.7591626e-16
5070.7	2.6692e-16
5072.7	2.7127317e-16
5074.6	2.7152148e-16
5076.6	2.7145571e-16
5078.6	2.6403635e-16
5080.6	2.5502018e-16
5082.6	2.6943693e-16
5084.5	2.6013271e-16
5086.5	2.6108411e-16
5088.5	2.6853714e-16
5090.5	2.6987198e-16
5092.5	2.6813425e-16
5094.4	2.6882998e-16
5096.4	2.6148831e-16
5098.4	2.6976316e-16
5100.4	2.7910254e-16
5102.4	2.6592167e-16
5104.3	2.6272084e-16
5106.3	2.7315869e-16
5108.3	2.4823054e-16
5110.3	2.6931533e-16
5112.3	2.7182193e-16
5114.3	2.7277631e-16
5116.2	2.758875e-16
5118.2	2.6879829e-16
5120.2	2.5280907e-16
5122.2	2.5850997e-16
5124.2	2.6623412e-16
5126.1	2.6250588e-16
5128.1	2.7484863e-16
5130.1	2.7572734e-16
5132.1	2.7481632e-16
5134.1	2.6466008e-16
5136.0	2.6311082e-16
5138.0	2.574378e-16
5140.0	2.5446864e-16
5142.0	2.6335949e-16
5144.0	2.6629688e-16
5145.9	2.6231158e-16
5147.9	2.6090163e-16
5149.9	2.6076803e-16
5151.9	2.6730872e-16
5153.9	2.6839589e-16
5155.8	2.6791186e-16
5157.8	2.6499645e-16
5159.8	2.6604941e-16
5161.8	2.6565694e-16
5163.8	2.6515173e-16
5165.8	2.6996552e-16
5167.7	2.6994389e-16
5169.7	2.7038768e-16
5171.7	2.7157601e-16
5173.7	2.6787707e-16
5175.7	2.5850737e-16
5177.6	2.5220875e-16
5179.6	2.6261817e-16
5181.6	2.7513819e-16
5183.6	2.6727132e-16
5185.6	2.5941088e-16
5187.5	2.4841686e-16
5189.5	2.7178586e-16
5191.5	2.8087348e-16
5193.5	2.670492e-16
5195.5	2.6837275e-16
5197.4	2.7158523e-16
5199.4	2.6687557e-16
5201.4	2.5609652e-16
5203.4	2.6039483e-16
5205.4	2.6589144e-16
5207.3	2.5998503e-16
5209.3	2.6670855e-16
5211.3	2.6592024e-16
5213.3	2.5785425e-16
5215.3	2.669811e-16
5217.3	2.6391333e-16
5219.2	2.7739999e-16
5221.2	2.7141162e-16
5223.2	2.6557454e-16
5225.2	2.7020179e-16
5227.2	2.6918145e-16
5229.1	2.6979567e-16
5231.1	2.6490855e-16
5233.1	2.7614685e-16
5235.1	2.6683247e-16
5237.1	2.6783219e-16
5239.0	2.6086829e-16
5241.0	2.6564059e-16
5243.0	2.6955938e-16
5245.0	2.6972326e-16
5247.0	2.680143e-16
5248.9	2.6599329e-16
5250.9	2.6403151e-16
5252.9	2.6047996e-16
5254.9	2.5333253e-16
5256.9	2.6231565e-16
5258.8	2.7113711e-16
5260.8	2.6627216e-16
5262.8	2.5970494e-16
5264.8	2.6508111e-16
5266.8	2.6464875e-16
5268.8	2.7372509e-16
5270.7	2.6273089e-16
5272.7	2.6229283e-16
5274.7	2.5541432e-16
5276.7	2.5393622e-16
5278.7	2.6987392e-16
5280.6	2.6278773e-16
5282.6	2.71583e-16
5284.6	2.6108588e-16
5286.6	2.5739433e-16
5288.6	2.8674853e-16
5290.5	2.8106116e-16
5292.5	2.6266516e-16
5294.5	2.7814533e-16
5296.5	2.7357635e-16
5298.5	2.7465952e-16
5300.4	2.6341899e-16
5302.4	2.7684623e-16
5304.4	2.7466802e-16
5306.4	2.630086e-16
5308.4	2.5250097e-16
5310.3	2.5432109e-16
5312.3	2.5091336e-16
5314.3	2.5538651e-16
5316.3	2.6959158e-16
5318.3	2.6785779e-16
5320.2	2.668287e-16
5322.2	2.5763468e-16
5324.2	2.4585866e-16
5326.2	2.5906921e-16
5328.2	2.5684103e-16
5330.2	2.6486959e-16
5332.1	2.7292659e-16
5334.1	2.7148107e-16
5336.1	2.6409553e-16
5338.1	2.6744219e-16
5340.1	2.7048634e-16
5342.0	2.6060688e-16
5344.0	2.5767574e-16
5346.0	2.694702e-16
5348.0	2.6954303e-16
5350.0	2.596686e-16
5351.9	2.5355422e-16
5353.9	2.581104e-16
5355.9	2.7326428e-16
5357.9	2.6431937e-16
5359.9	2.7007034e-16
5361.8	2.6436717e-16
5363.8	2.5916406e-16
5365.8	2.6005628e-16
5367.8	2.5896176e-16
5369.8	2.6184209e-16
5371.7	2.6027149e-16
5373.7	2.6214107e-16
5375.7	2.7291712e-16
5377.7	2.6223027e-16
5379.7	2.5620131e-16
5381.7	2.5487962e-16
5383.6	2.5663414e-16
5385.6	2.6260939e-16
5387.6	2.5929605e-16
5389.6	2.6561727e-16
5391.6	2.6645559e-16
5393.5	2.581209e-16
5395.5	2.6398292e-16
5397.5	2.692252e-16
5399.5	2.61221e-16
5401.5	2.6175992e-16
5403.4	2.8320794e-16
5405.4	2.7758076e-16
5407.4	2.554197e-16
5409.4	2.640994e-16
5411.4	2.7448249e-16
5413.3	2.6098105e-16
5415.3	2.6839018e-16
