"MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err"
"57985.017	Sinistro_g	8.29879256620849e-17	2.5223451371006118e-17	GeneralFilters	Sinistro	2.4884814800025197	0.3959344129471747	-16.080985090753874	0.1319999946689565"
"57985.019	FLAMINGOS-2_J	6.70064258449485e-17	1.2343039284315354e-18	GeneralFilters	FLAMINGOS-2	2.490481480002927	0.3962833165311851	-16.17388354692327	0.0079999996768926"
"57985.019	FLAMINGOS-2_Ks	2.5726531926220273e-17	9.478004242434729e-19	GeneralFilters	FLAMINGOS-2	2.490481480002927	0.3962833165311851	-16.589618755057447	0.015999999353779"
"57985.184	UVOT_B	1.1121243027162016e-16	1.0243042950281905e-17	GeneralFilters	UVOT	2.6554814800038	0.4241432768866936	-15.95384666871915	0.0399999983845387"
"57985.231	GFC_i	1.1417939709752003e-16	9.464679614367549e-18	GeneralFilters	GFC	2.7024814800024615	0.4317627264328242	-15.942412254532274	0.0359999985460713"
"57985.231	GFC_y	8.467289128077774e-17	8.578527292268354e-18	GeneralFilters	GFC	2.7024814800024615	0.4317627264328242	-16.072255610349416	0.0439999982229775"
"57985.231	GFC_z	8.827755454242165e-17	5.6914640419295494e-18	GeneralFilters	GFC	2.7024814800024615	0.4317627264328242	-16.054149706133877	0.0279999988691686"
"57985.357	Sinistro_r	8.208166391165226e-17	6.8040002915210224e-18	GeneralFilters	Sinistro	2.828481480006303	0.4515533394641249	-16.085753848378403	0.0359999985460359"
"57985.364	Sinistro_i	1.0874158467976981e-16	1.3020110571475e-17	GeneralFilters	Sinistro	2.8354814800040913	0.4526268150294253	-15.963604342360012	0.051999997899734"
"57985.367	Sinistro_i	1.0009114505025704e-16	1.2906228676607912e-17	GeneralFilters	Sinistro	2.8384814800010645	0.4530860649663703	-15.999604342360003	0.0559999977382407"
"57985.384	Skymapper_r	8.316041704639871e-17	6.1274857243179934e-18	GeneralFilters	Skymapper	2.85548148000089	0.4556793477753478	-16.080083341364432	0.0319999987076483"
"57985.385	Sinistro_V	7.618392123429062e-17	1.403359634195923e-17	GeneralFilters	Sinistro	2.8564814800047316	0.4558314126577883	-16.11813667768994	0.0799999967687053"
"57985.391	Sinistro_i	9.298130936593088e-17	1.5415010512249862e-17	GeneralFilters	Sinistro	2.862481480005954	0.4567426855113546	-16.031604342360346	0.0719999970919285"
"57985.395	Sinistro_i	9.917350391668322e-17	1.3701325350975717e-17	GeneralFilters	Sinistro	2.866481479999493	0.4573491401940683	-16.003604342360035	0.0599999975768618"
"57985.397	Skymapper_r	8.089406481002764e-17	6.7055565679457866e-18	GeneralFilters	Skymapper	2.8684814799999003	0.4576520502582671	-16.092083341364386	0.0359999985460981"
"57985.398	Skymapper_g	6.051381214380503e-17	6.688233414481717e-18	GeneralFilters	Skymapper	2.869481480003742	0.4578034261005288	-16.21814548727796	0.0479999980613964"
"57985.699	SIRIUS_H	4.7549294407537715e-17	1.7517806730110668e-18	GeneralFilters	SIRIUS	3.170481480003218	0.5011252206499639	-16.322855923252046	0.0159999993537836"
"57985.699	SIRIUS_J	6.556725693089984e-17	3.019483646007314e-18	GeneralFilters	SIRIUS	3.170481480003218	0.5011252206499639	-16.183312985079755	0.0199999991922811"
"57985.699	SIRIUS_Ks	2.6822341517103376e-17	1.2352144248425677e-18	GeneralFilters	SIRIUS	3.170481480003218	0.5011252206499639	-16.571503312108234	0.0199999991922539"
"57985.726	Sinistro_r	5.731207752366983e-17	6.334364641195941e-18	GeneralFilters	Sinistro	3.197481480005081	0.5048080376995918	-16.241753848378536	0.0479999980614612"
"57985.733	Sinistro_i	8.173266457711335e-17	1.5055712597203918e-17	GeneralFilters	Sinistro	3.204481480002869	0.5057577659635242	-16.087604342360123	0.0799999967689523"
"57985.736	Sinistro_i	8.798237023453188e-17	1.2155213157985437e-17	GeneralFilters	Sinistro	3.207481479999842	0.5061641574375838	-16.055604342360155	0.0599999975767754"
"57985.74	Sinistro_z	8.051897421109984e-17	2.5214642383786324e-17	GeneralFilters	Sinistro	3.211481480000657	0.5067054218641438	-16.094101766536696	0.1359999945072906"
"57985.743	Sinistro_V	6.821239877461026e-17	1.1936928313656712e-17	GeneralFilters	Sinistro	3.214481480004906	0.5071109279494794	-16.166136677689806	0.0759999969305495"
"57985.973	FourStar_J	6.613945344159933e-17	6.09166853610441e-19	GeneralFilters	FourStar	3.4444814800008317	0.5371238540162936	-16.179539398298612	0.0039999998384471"
"57985.974	GROND_H	4.057969283803598e-17	2.616269376940638e-18	GeneralFilters	GROND	3.445481480004674	0.5372499198570369	-16.391691244617874	0.027999998869207"
